Word,Term,Affix,PartOfSpeech,Definition,Root Word
umabåhu,abåhu,UM Infix,Transitive Verb,"vt.  clear (land) by felling all trees and bushes; tear (a house) down; take down (everything). Reversal: clear (land), tear down, take down. Abåhu i lugåt ya u gåsgas. Clear up the land so it can look clean. Anai ma abåhu i tanu' nai umannuk i dinangkulon‑ña. The size of the property showed when they tore down everything on the land. Abåhu todu ginin i liga kosa ki libiånu mapenta. Take down everything from the walls so that it will be easy to paint.",abåhu
umabandona,abandona,UM Infix,Transitive Verb,"vt.  abandon, forsake. Reversal: abandon, leave behind. Ma abandona todu i pineksai gå'ga' duråntin i pakyu. They left behind all the animals during the storm. I dos mås åmku' na che'lu ma abandona i intires yan palitun‑ñiha gi pidåsun tånu' ni manå'i i mås påtgun na che'lun‑ñiha. The two oldest siblings put aside their interest and conflict about a piece of land that was given to their youngest sibling. Ma abandona i batku anai esta mañoñokñuk. They abandoned the ship when it was sinking.",abandona
umabånsa,abånsa,UM Infix,Transitive Verb,"vt.  go forward with, move on with, make progress with, advance, improve; pay in advance. Reversal: advance. Abånsa i lina'lå'‑mu. Improve your life. Abånsa i un chocho'gui sa' siempri munhåyan. Go forward with what you are doing because it will finish somehow. Ha abånsa i malago'‑ña si Maria. Maria went forward with what she wanted. Ma abånsa singkuenta pesus fine'nena, åntis di u empas. They advanced fifty dollars first, before the payment was complete. Variant: atbånsa, abånsi.",abånsa
umabånsi,abånsi,UM Infix,Transitive Verb,"vt.  advance (payment), pay in advance. Reversal: advance (payment). Hu abånsi i apas atkilun guma' put dos mesis. I advanced the house's rental payment for two months. Manggågao si Jose na u ma'abånsi i suetdon‑ña. Jose asked for an advance on his salary. Måolik yanggin un abånsi i apas i debi‑mu sa' menus i intires. It is wise to make advance payments on your loan because the interest would be less..",abånsi
umabåtga,abåtga,UM Infix,Transitive Verb,"vt.  rely on, depend on, trust, have faith in. Reversal: rely on, depend on. Hu abåtga yu' na ti u uchan. I trusted that it would not rain. Ha abåtga gui' si Roman as Kuri ni kinalamtin ginagao salåppi' gi lehislatura. Roman relied on Kuri regarding the process of seeking money from the legislature. Mungnga ma'abåtga håo nu i fino'‑ña, sa' dakun ennåo na tåotao. Don't trust his words, because that guy is a liar. Variant: båtga.",abåtga
umabesti,abesti,UM Infix,Transitive Verb,"vt.  decorate. Reversal: decorate. Fuyut i butsiyun aising ya un abesti i kek. Squeeze the icing bag and decorate the cake. Abesti i palapåla ni hagun niyuk, sa' para guaha fandånggu. Decorate the hut with coconut leaves, because there's going to be a wedding. Manma'abesti i kalesa siha para i likao. The floats were decorated for the procession. Variant: besti.",abesti
umabiba,abiba,UM Infix,Transitive Verb,"vt.  encourage; give praise to; honor, show pride in. Reversal: encourage, praise (someone), honor. Abiba i patgun ya u gånna i kumpitensia. Encourage the child so he can win the competition. Abiba i malångu ya u maguf sinienten‑ña. Encourage the sick person so he can feel better. Maila' ta abiba si San Isidro, patron lancheru. Let us give praise to San Isidro, the patron saint of farmers. Maila' ta abiba i kutturå‑ta. Let us honor our culture.",abiba
umabirigua,abirigua,UM Infix,Transitive Verb,"vt.  interrogate, question or investigate in order to find out. Reversal: question (someone), interrogate. Ma abirigua yu' put si Juan. They interrogated me about John. I pulisia ha abirigua i manhobin put i sinisedi. The police interrogated the youths about the incident. I ma'estra ha abirigua i famagu'un anai guaha malingu kosas gi kuåttu. The teacher investigated the students when something was lost in the class.",abirigua
umabisa,abisa,UM Infix,Transitive Verb,"vt.  advise, notify, inform; give alarm, give warning. Reversal: advise, notify, inform, warn. Abisa i amigu‑mu na u gef adahi gui'. Advise your friend to be cautious. Abisa i membru siha put i hunta. Notify the members of the meeting. Manma'abibisa i taotao ni maga'låhi put i pakyu ni mamamaila'. The governor gave warning of an approaching typhoon.",abisa
umabona,abona,UM Infix,Transitive Verb,"vt.  pay, purchase, buy; do a favor to, side with. Reversal: buy, favor (side with). Hu abona i rilos che'lu‑hu. I bought my brother's watch. I subrinå‑hu ha abona i tano'‑hu. My niece purchased my property. Hu na'ma'abona todu i kosås‑hu anai para bai hu dingu Saipan. I made them buy all my things when I was leaving Saipan. Ha abona yu' i amigu‑hu gi atgumentok‑ku. My friend sided with me in my argument.",abona
