Term,Part of Speech,Definition,Source Details,Link to Source
å'a',Intransitive Verb,"vi.  open mouth (wide), gape (with mouth open) as in wonder or surprise. Reversal: open one's mouth, gape. Umå'a' anai på'gu ha li'i' i ma'lak pulan. She gaped when she saw the bright moon for the first time. Ti siña hu åmti i pachot‑mu yanggin ti umå'a' håo. I cannot put the medicine in your mouth if you do not open it wide.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
a'asahon,Intransitive Verb,vi.  discern. Reversal: discern.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
abak,Intransitive Verb,"vi.  lost, go astray, go the wrong way. Reversal: lost (gone astray), gone astray. Abak i taotao. The man is lost. Siña umabak i patgun yanggin ti magiha måolik. The child may go astray if he is not guided properly. Hu nisisita i måpa para i gima'‑miyu sino abak yu'. I need the map to your house or else I will be lost. A'abak chalån‑ña. He's going the wrong way.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
ábali',Intransitive Verb,"vi.  have sexual intercourse, make love. Reversal: have sex. Ábali' sessu yan i asaguå‑mu. Make love often with your spouse. Uma'abali' i guali'ik gi tattin potta. The geckos are having sex behind the door.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
aburidu,Intransitive Verb,"vi.  make a ruckus, disturbance, racket, fuss, riot; disturbed, confused (in mind). Reversal: make a fuss, riot, confused. Manakassi i manhobin asta ki guaha aburidu. The teenagers were teasing each other until there was a ruckus. Gotpi ha' umaburidu si Jack anai ma kuentutusi. Jack made a fuss all of a sudden when they were talking to him. Guaha manaburiridu gi kantun tåsi. There was a riot going on at the beach. Aburidu i ilu‑hu anai sigi ma essalågui yu'. My mind got all confused when they kept yelling at me. Manaburidu i mannuk anai humålum i katu. The chickens became disturbed when the cat came in.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
achá'ikak,Intransitive Verb,"vi.  have the same speed, run at the same speed; plunge down, tumble. Reversal: run at same speed. Achá'ikak si Manny yan si Ben. Manny and Ben run as fast as each other. Umachá'ikak i dos kabåyu lao i dikiki' manggånna gi uttimu. The two horses competed but the smaller one won at the end. Ta achá'ikak påpa' gi eksu'. We will race at the same speed down the hill.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
achakma',Intransitive Verb,"vi.  have sex outside marriage, have an affair, shack up. Reversal: have sex (outside marriage), live together (outside marriage). Ti ma tungu' na umachachakma' ennåo i dos. They don't know that those two are having an affair. Bula famagu'un‑ñiha, lao umachachakma' ha' i dos. They have a lot of kids, but they're just shacking up.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
áchettun,Intransitive Verb,"vi.  next to each other, close to each other, stick together. Reversal: close to each other, stick together. Achettun na dos. You two be next to each other. Umachettun i aseru yan i liluk. The magnet and iron stuck together. Na'achettun i lamasa para u nahung lugåt para i nengkanu'. Put the tables together so there's enough room for the food.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
achigu',Intransitive Verb,"vi.  close one's eyes, shut eyelids deliberately; sleep for a little while, take a nap. Reversal: close one's eyes, take a nap. Achigu' fan. Please close your eyes. Umachigu' esta si Nåna. Mother closed her eyes already. Achigu' ya bai hu nå'na' i sikretu. Close your eyes and I will hide the surprise. Bai hu achigu'ñaihun. I'm going to take a nap.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
áchikak,Intransitive Verb,"vi.  compete in running, participate in a race. Reversal: compete. Maila' ya ta achikak na dos. Let us race together. Manachikak meggai na bisikleta gi Sabalu. Many bikers raced on Saturday. Variant: áchikat.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
áchikat,Intransitive Verb,"vi.  compete in running, participate in a race. Reversal: compete. Umachikat si Fred gi Triathlon gi ma'pus na såkkan. Fred joined the Triathlon competition last year. Variant: áchikak.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
ádalak,Intransitive Verb,"vi.  work together (to do something), help one another, help out, accompany one another (happily in labor), go together. Reversal: work together. Umadalak pumeska i dos chume'lu. The two brothers accompanied each other fishing. Mana'adalak i taotao åntis na tiempu para u fanmacho'chu' gi lanchu. In the past, people helped each other to work at the farm. Umadalak ham yan i che'lu‑hu para bai in fangguåssan. My sister and I helped each other in weeding out grass. Manadalak para uma tufuk i hagun niyuk para higai. They went together to weave coconut fronds for the hut.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
ádanchi,Intransitive Verb,"vi.  agree; rhyme. Reversal: agree, rhyme. Mana'adanchi i hinassun‑ñiha para taimanu masåtba i prublema. Their thoughts are in agreement on how to solve the problem. Ti uma'adanchi i dos tåotao, sa' ti parehu i rilihon‑ñiha. The two people often did not agree, because their religions were different. Mana'adanchi i palåbra gi kantan Chamorrita. Words rhyme in the Chamorrita songs.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
ádingan,Intransitive Verb,"vi.  converse, talk, speak, utter. Reversal: converse, talk. Maila' ta adingan na dos. Let us converse with each other. Malagu' yu' na u fanadingan i familia put i mamamaila' na guput. I want the family to talk about the upcoming party (event). Malagu' yu' umadingan yan hågu. I want to talk to you.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
ádingu,Intransitive Verb,"vi.  part ways, leave one another, separate. Reversal: leave one another. Na'maguf yanggin mandanña' hit lao na'tristi yanggin manadingu. It is good when we meet with each other, but it is sad when we part. Mampus yu' mahåhalang disdi ki umadingu hit. I have been so lonely since we parted ways. Ti måolik para u adingu i dos umasagua la'apman. It is not good for married people to be separated for a long time.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
ádispatta,Intransitive Verb,"vi.  disconnected, separate, break away. Reversal: disconnected, separated. Hu na'adispatta esta i alåmlin kåndit. I disconnected the electrical wire already. I famagu'un managotti kånnai, dispues manadispatta. The children held hands and then they separated. I che'lu‑hu umadispatta yan i asaguå‑ña. My sister separated from her husband.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
ádutgan,Intransitive Verb,"vi.  pass (through something), penetrate, make a hole (through something), make a tunnel, go through (something). Reversal: go (through something), pass (through something). Umadutgan i liluk kontra i hayu. The nail penetrated the wood. Umadutgan i bala gi trongkun niyuk. The bullet passed through the coconut tree. Atåni i liluk dispåsiu ya mungnga na u adutgan. Hammer the nail so that it won't go through.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
áfabot,Intransitive Verb,"vi.  do favors for each other. Reversal: do favors for each other. Månngi' umafabot yan ottru sa' yanggin guåhu munisisita, siempri listu para bai hu ma'ayuda. It is good to do favors for others, because when I am in need, the favors are returned back to me. Mana'afabot ha' hamyu. You are just doing each other a favor. Mana'afabot ha' i mambuleru. The players are doing favors for each other.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
áfakcha',Intransitive Verb,"vi.  match; rhyme. Reversal: match (correspond), rhyme. Umafakcha' i dos kulot pintura para esti na potta. The two colors of paint for this door match. Uma'afakcha' mo'na i hinassosot‑ta. Our thinking is in synch. Måolik muna'afakcha' palåbra gi kantån‑ña Chamorrita. He is good at rhyming words in his Chamorrita songs.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
áfa'måolik,Intransitive Verb,"vi.  help out, cooperate with, be friends, come together in good spirit. Reversal: cooperate, get along well. Manafa'måolik tåtti i mañe'lu‑hu dispues di guaha chinatkumprendi. My siblings came back together in good spirit after there was some misunderstanding. Afa'måolik na dos. You two be good friends with each other. Manggof afa'måolik ham na familia. We're a family that gets along well.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
áfana',Intransitive Verb,"vi.  face one another, confront one another, meet. Reversal: face each other. Umafana' put fin i dos para u akumprendi. Finally the two faced each other to come to an understanding. Ti siña ma såtba i prublema solu manafana' hamyu. You cannot solve the problem unless you meet with each other. Maila' ta fanafana'! Come, let's face off!",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
áfulu',Intransitive Verb,vi.  wrestle. Reversal: wrestle. Håfa na uma'afulu' ennåo i dos påtgun gi cha'guan? Why are those two children wrestling on the grass? Ya‑ña umafulu'. He likes to wrestle.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
ágofli'i',Intransitive Verb,vi.  be nice to one another. Reversal: nice to each other. Agofli'i' fan na dos. Be nice to each other.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
ágo'ti,Intransitive Verb,"vi.  shake hands, hold hands. Reversal: shake hands, hold hands. Umago'ti i dos chume'lu. The two brothers shook hands. Mana'ago'ti kånnai esta på'gu. They are still holding hands.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
aguåhnun,Intransitive Verb,"vi.  become watery, from a cream base. Reversal: watery. Mampus aguåhnun i ineksa'. The rice is very mushy. Mungnga mampus malehgua' i atuli, sa' un na'aguåhnun. Don't stir the starchy corn soup, because you might make it watery. Variant: aguånun.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
águaiya,Intransitive Verb,"vi.  love one another. Reversal: love one another. Yanggin mohon managuaiya todu i taotao siha, siempri u guaha pås gi hilu' tånu'. If only people love each other, there will be peace on earth. Put fin umassagua i dos umaguaiya. The two lovers finally got married.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
ágululumi,Intransitive Verb,"vi.  band together against, gang up on; work together, help (to get something done), act together; swarm (of fish when eating). Reversal: go against each other, work together. Mungnga managululumi fan. Don't go against each other. Munhåyan ha' ennåo na cho'chu' kumu managululumi i taotao. That work will be done if the people work together efficiently. Månngi' ma'atan i guihan yanggin mana'agululumi mañotchu. It's pleasant looking at the fish eating together.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
agumentu,Intransitive Verb,vi.  argue. Reversal: argue. Påra fan managumentu. Please stop arguing. Variant: atgumentu.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
agunihas,Intransitive Verb,"vi.  be in agony before death, be in the final stage of life. Umagunihas åntis di u måtai. He was in agony before he died. Umaguninihas i taotao. He is on the last stage of his life.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
akabotsi,Intransitive Verb,"vi.  reach the the winning score, twenty-one points, in the card game tres sietti. Maila' ya ta li'i' håyi fine'nina para u akabotsi. Let's wait and see who will be the first one to have the winning score. Esta guaha ham nuebi buenas ya siempri manakabotsi ham gi esti na biåhi. We already have nine buenas points and we'll have the winning score this time. Variant: kabotsi.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
ákalayi',Intransitive Verb,"vi.  hang; withhold (for a time), suspend. Reversal: hang (suspended), suspend. Ma na'akalayi' i babui dispues di mapunu'. They hung up the pig after it was slaughtered. Uma'akalayi' i guaili gi trongku. The pole is hanging on the tree. Mana'akalayi' bula na tinekcha' gi råmas. There are lots of fruits hanging on the branch. Maila' ta na'akalayi' ha' i håfa ta diskukuti asta ki ta bira hit tåtti. Let's suspend what we were discussing until we come back.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
ákaling,Intransitive Verb,"vi.  hang down; become dislocated, twisted, deformed. Reversal: hang (suspended), dislocated. Umakaling i talangan i babui, sa' ti må'tut. The pig's ear was hanging down, because it wasn't cut off. Akaling i te'lang kannai‑ña. His arm bone is dislocated.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
ákkamu',Intransitive Verb,"vi.  get married. Reversal: get married. Kåo un tungu' ngai'an na para u akkamu' i dos? Do you know when the two are getting married? Bula manakkamu' esta famagu'on‑ña. She has a lot of children who are married already. Ti siña yu' humånao agupa', sa' para bei akkamu'. I cannot go tomorrow, because I'm getting married.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
aksidenti,Intransitive Verb,"vi.  happen by chance, have an accident. Reversal: happen by chance, have an accident. Umaksidenti si Juan gi chalan. John had an accident on the road. Dispensa sa' aksidenti ha' yu' na måttu. Forgive me, because I'm just here by accident.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
ákumprendi,Intransitive Verb,"vi.  agree, understand one another, reach an understanding, reach an agreement. Reversal: agree. Akumprendi yan i che'lu‑mu palåo'an. Reach an agreement with your sister. Bai in akumprendi yan i asaguå‑hu. My husband and I will reach an understanding.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
álachi,Intransitive Verb,"vi.  mix up, confuse, mistake for, mistakenly exchange. Reversal: mixed up. Umálachi siyå‑ta. We sat in each other's chairs by mistake. Chumålik ham anai umálachi na'‑måmi ya esta in kannu'. We laughed when we ate each other's food by mistake. Ginin i inalulan‑måmami, esta umálachi yori'‑måmi. In our hurry, we even mixed up each other's zoris. Atan måolik i yure'‑ta ya mungnga na ta alachi. Let's watch our zoris carefully so that we won't get mixed up.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
alapåt,Intransitive Verb,"vi.  paired up, side by side, parallel. Reversal: paired, together (side by side), parallel. Umalapåpat mo'na i dos botin katchu'. The two tuna boats moved forward parallel to each other. Na'alapåt i deggåm‑mu. Put your shoes side by side. Ti ta tungu' månu guini degga'‑ta, sa' ti manalapåpat. We don't know where our footwear is, because they're not together side by side.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
alula,Intransitive Verb,vi.  hurry up. Reversal: hurry. Alula sa' u fåttu i bås. Hurry up because the bus may be coming. Alula ya ta fanhånao manpiknik. Hurry up so that we can go picnicking.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
amotsa,Intransitive Verb,vi.  eat breakfast. Bai hu amotsa gi iskuela. I will eat breakfast at school.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
annuk,Intransitive Verb,"vi.  appear, be exposed, visible to the naked eye, come into sight. Reversal: appear. Annuk ha' na guaha sinientem‑mu para si Juan. It's apparent that you have feelings for Juan. Un na'annuk na un fabot un påtgun mås ki ottru. It's apparent that you favor one child more than the other. Håfa na ti annuk håo gi litråtu? Why aren't you there in the picture?",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
ánobiu,Intransitive Verb,"vi.  be lovers, have a boyfriend or girlfriend. Umanobiu i dos anai hohobin. Those two were lovers when they were young. Manpinalålala i manhobin para u fananobiu. The young are eager to be lovers. Ti åtman umanobiu i dos. Before long the two were lovers.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
apa,Intransitive Verb,"vi.  place hand on the shoulder (of someone), put arm around the shoulder (of someone) while strolling or standing. Reversal: put hand on shoulder. Umapa i patgun mientras hu na'sinapåpatus. The child placed a hand on my shoulder while I put on his shoes. Apa mågi kumu ti måolik sinintem‑mu. Place a hand on my shoulder if you are not feeling well. Apa ya bai hu isgaihun håo. Place a hand on my shoulder and I will lead the way.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
ápanak,Intransitive Verb,"vi.  clash, strike violently together, hit one another. Umápanak esta ki masangåni para u påra. They were hitting each other until they were told to stop. In pangas i dos put para bai in na'påra umápanak. We had to hold them down to stop them from hitting each other. Mafa' huegu i para u fanápanak. They make a game of hitting each other.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
ápaniti,Intransitive Verb,"vi.  box, punch each other, fight with each other. Duru umápaniti i dos esta ki yayas. The two were boxing with each other until they got tired. Båsta umápaniti. Stop punching each other. Sangåni ya u påra umápaniti. Tell them to stop punching each other.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
ápatti,Intransitive Verb,"vi.  divide, share, split evenly (reciprocal). Ha na'fanápatti i famagu'on‑ña ni i tano'‑ña. He divided his property amongst his children. Manápatti ni i salåppi' intri siha. They divided the money amongst themselves. Hu nå'i i famagu'un balutan kandi ya manápatti. I gave the children a bag of candies and they shared it. Guaha na påtgun ti malagu' umápatti yan i che'lu‑ña. Some children did not want to share with their sibling.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
ápayuni,Intransitive Verb,"vi.  get used to each other, be acquainted, know well, become accustomed to each other (reciprocal). Reversal: acquainted. Ti manapayuni ham, sa' ti sessu manali'i' ham. We're not used to each other, because we seldom see each other. Ti åpmam i famagu'un manápayuni. Before long the children will get acquainted. Manápayuni esta i ma'estra yan i famagu'un. The teacher and children got acquainted.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
