Term,Part of Speech,Definition,Source Details,Link to Source
abåhu,Transitive Verb,"vt.  clear (land) by felling all trees and bushes; tear (a house) down; take down (everything). Reversal: clear (land), tear down, take down. Abåhu i lugåt ya u gåsgas. Clear up the land so it can look clean. Anai ma abåhu i tanu' nai umannuk i dinangkulon‑ña. The size of the property showed when they tore down everything on the land. Abåhu todu ginin i liga kosa ki libiånu mapenta. Take down everything from the walls so that it will be easy to paint.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
abandona,Transitive Verb,"vt.  abandon, forsake. Reversal: abandon, leave behind. Ma abandona todu i pineksai gå'ga' duråntin i pakyu. They left behind all the animals during the storm. I dos mås åmku' na che'lu ma abandona i intires yan palitun‑ñiha gi pidåsun tånu' ni manå'i i mås påtgun na che'lun‑ñiha. The two oldest siblings put aside their interest and conflict about a piece of land that was given to their youngest sibling. Ma abandona i batku anai esta mañoñokñuk. They abandoned the ship when it was sinking.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
abånsa,Transitive Verb,"vt.  go forward with, move on with, make progress with, advance, improve; pay in advance. Reversal: advance. Abånsa i lina'lå'‑mu. Improve your life. Abånsa i un chocho'gui sa' siempri munhåyan. Go forward with what you are doing because it will finish somehow. Ha abånsa i malago'‑ña si Maria. Maria went forward with what she wanted. Ma abånsa singkuenta pesus fine'nena, åntis di u empas. They advanced fifty dollars first, before the payment was complete. Variant: atbånsa, abånsi.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
abånsi,Transitive Verb,"vt.  advance (payment), pay in advance. Reversal: advance (payment). Hu abånsi i apas atkilun guma' put dos mesis. I advanced the house's rental payment for two months. Manggågao si Jose na u ma'abånsi i suetdon‑ña. Jose asked for an advance on his salary. Måolik yanggin un abånsi i apas i debi‑mu sa' menus i intires. It is wise to make advance payments on your loan because the interest would be less..",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
abåtga,Transitive Verb,"vt.  rely on, depend on, trust, have faith in. Reversal: rely on, depend on. Hu abåtga yu' na ti u uchan. I trusted that it would not rain. Ha abåtga gui' si Roman as Kuri ni kinalamtin ginagao salåppi' gi lehislatura. Roman relied on Kuri regarding the process of seeking money from the legislature. Mungnga ma'abåtga håo nu i fino'‑ña, sa' dakun ennåo na tåotao. Don't trust his words, because that guy is a liar. Variant: båtga.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
abesti,Transitive Verb,"vt.  decorate. Reversal: decorate. Fuyut i butsiyun aising ya un abesti i kek. Squeeze the icing bag and decorate the cake. Abesti i palapåla ni hagun niyuk, sa' para guaha fandånggu. Decorate the hut with coconut leaves, because there's going to be a wedding. Manma'abesti i kalesa siha para i likao. The floats were decorated for the procession. Variant: besti.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
abiba,Transitive Verb,"vt.  encourage; give praise to; honor, show pride in. Reversal: encourage, praise (someone), honor. Abiba i patgun ya u gånna i kumpitensia. Encourage the child so he can win the competition. Abiba i malångu ya u maguf sinienten‑ña. Encourage the sick person so he can feel better. Maila' ta abiba si San Isidro, patron lancheru. Let us give praise to San Isidro, the patron saint of farmers. Maila' ta abiba i kutturå‑ta. Let us honor our culture.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
abirigua,Transitive Verb,"vt.  interrogate, question or investigate in order to find out. Reversal: question (someone), interrogate. Ma abirigua yu' put si Juan. They interrogated me about John. I pulisia ha abirigua i manhobin put i sinisedi. The police interrogated the youths about the incident. I ma'estra ha abirigua i famagu'un anai guaha malingu kosas gi kuåttu. The teacher investigated the students when something was lost in the class.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
abisa,Transitive Verb,"vt.  advise, notify, inform; give alarm, give warning. Reversal: advise, notify, inform, warn. Abisa i amigu‑mu na u gef adahi gui'. Advise your friend to be cautious. Abisa i membru siha put i hunta. Notify the members of the meeting. Manma'abibisa i taotao ni maga'låhi put i pakyu ni mamamaila'. The governor gave warning of an approaching typhoon.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
abona,Transitive Verb,"vt.  pay, purchase, buy; do a favor to, side with. Reversal: buy, favor (side with). Hu abona i rilos che'lu‑hu. I bought my brother's watch. I subrinå‑hu ha abona i tano'‑hu. My niece purchased my property. Hu na'ma'abona todu i kosås‑hu anai para bai hu dingu Saipan. I made them buy all my things when I was leaving Saipan. Ha abona yu' i amigu‑hu gi atgumentok‑ku. My friend sided with me in my argument.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
abråsa,Transitive Verb,"vt.  encompass, cover a certain area. Reversal: encompass. Ha abråsa todu i manmåolik na chå'guan i kellat guaka. The fenced-in area for cattle encompassed all the good grass. I kellat ha abråsa todu i sitiun i gima'. The fence covered all the area around the house.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
abråsu,Transitive Verb,"vt.  hug (by having arms meet together), enfold in the arms, encircle in someone's arms (Rota). Reversal: hug, encircle.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
abribiet,Transitive Verb,"vt.  abbreviate. Reversal: abbreviate. Manma'abribiet todu i na'an, ya mapput hu tungu' håyi siha. They abbreviated all the names and it is hard for me to know who they are. Abribiet ha' i na'an para u omlat gi tapbleru. Just abbreviate the name to fit in the signboard.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
åchai,Transitive Verb,vt.  lean (the chin) on. Reversal: lean (chin) on. Che'lu‑hu atyu i ha å'achai gui' ni kannai‑ña. That's my brother who's leaning his chin on his hand.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
achåka,Transitive Verb,"vt.  blame, reproach, hold responsible for, find fault with, accuse; speak of or address with irreverence; blaspheme. Reversal: blame (someone), accuse. Gof lachi para un achåka ottru tåotao put i linachi‑mu. It is very wrong to blame others for your own wrongdoing. Håfa na un achåchaka yu'? Why are you putting the blame on me? Ha achåka yu' si nanå‑hu anai ti måttu i che'lu‑hu gi ora. My mother held me responsible when my sister did not come home on time. Ma achåka i taotao anai malingu i ramenta. They accused the man when the tool was missing.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
achetgi,Transitive Verb,"vt.  wink at. Reversal: wink at. I lahi ha achetgi i palåo'an. The boy winked at the girl. Siña mannå'i håo señas yanggin manachetgi håo. You can give signals by winking. Gigun ha achetgi yu' si Tåta, esta hu tungu' håfa kumeke'ilek‑ña. When my father gives me a wink, I already know what he is trying to say.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
adåba,Transitive Verb,vt.  put a padlock on (something). Reversal: put padlock on. Kåo un adåba i kellat? Did you put a padlock on the gate? Ma adådaba i kahun limosna. The donation box has a padlock.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
adahi,Transitive Verb,"vt.  guard, protect, take good care of, pay attention to. Reversal: protect, keep watch over. Adahi i familia sa' duru mannå'yi i sagu. Protect the family, because the flu is going around. Adahi fan i na'‑ta gi lamasa. Please watch our food on the table. Hu adadahi håfa para bai hu kånnu'. I'm careful with what I eat.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
adånggua',Transitive Verb,vt.  jump over (Rota). Reversal: jump over. Hu adånggua' i fachi'. I jumped over the mud puddle.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
adåpta,Transitive Verb,vt.  adopt. Reversal: adopt. Si Nanå‑hu ha adåpta i nenin i che'lu‑ña. My mother adopted her sister's baby. Ma adåpta i patgun anai mumalångu i nana. They adopted the child when the mother became sick. Manchaddik manmanadåpta i famagu'un kustumbrin ottru. Children are quick to adopt others' behaviors.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
adda',Transitive Verb,"vt.  mimic, copy, imitate closely. Reversal: imitate. Ha adda' i katin katu. He mimicked the cat's cry. Ha a'adda' si Juanito si Tan Rosa ni ke'yåo‑ña. Juanito copied Tan Rosa's limp. Måolik manadda' si Frank nu i kakanta. Frank is good at imitating the singer.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
åddak,Transitive Verb,"vt.  knock, rap. Reversal: strike, rap, knock. Ha åddak i ilu‑hu ni baston‑ña. He rapped my head with his cane. Ha åddak si Ben i kampåna ni liluk. Ben struck the bell with a metal object. Nisisåriu na un åddak duru i ruedan kareta para u kallu i tutniyu. You need to knock hard on the wheel to loosen the screws.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
adibina,Transitive Verb,"vt.  predict, foretell; wonder, figure out, search for an answer to, try to decide. Reversal: predict, wonder. Hu adibibina na para u måolik i nuebu na såkkan. I am predicting that the new year will be good. Hu adibibina na para u anåkku' i ha'ani‑hu gi tanu'. I am predicting that I will have a long life. Hu adibibina kåo para bai hu hånao para Guam. I am wondering if I should go to Guam. Hu adibina kåo måolik pat båba i para bai hu cho'gui. I am trying to decide whether what I am going to do is good or bad.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
adilånta,Transitive Verb,"vt.  improve, progress, advance. Reversal: improve (something). Adilånta fan i lina'lå'‑mu, che'lu‑hu. Please improve your life, my brother. Ha gof adilånta gui' si Maria gi iskuela. Maria really advanced herself at school. Manma'adilålanta i chalan siha gi sengsung. They are improving the roads in the village.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
adingani,Transitive Verb,"vt.  speak to, talk to, advise. Reversal: talk to, advise. Ti manma'adingangani ennåo siha na famagu'un put rispetu. Those children are not given advice about respect. Put fabot adingani i lahi‑mu sa' ti måolik bidåda‑ña. Please talk to your son, because he is not doing the right thing. Manma'adingani ham as Tåta anai guaha lachi bidan‑måmi. Father talked to us when we did something wrong.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
adinganiyi,Transitive Verb,"vt.  intercede, speak in favor of (someone), talk on behalf of (someone) to (someone). Reversal: intercede for. Si Maria ha adinganiyi hit nu i lahi‑ña. Mary intercedes to her son for us. Hu adinganiyi si Jose as Nåna, sa' ma'å'ñao nu i bidå‑ña. I talked to Mother for Jose, because he is afraid of what he did. Hu adinganiyi i patgun, sa' mampus luhan. I interceded for the boy, because he was too frightened.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
adonsi,Transitive Verb,"vt.  stack up, pile on top of each other. Reversal: stack up, pile up (something). Utut i hayu siha yan adonsi parehu. Cut the woods and stack them up evenly. Adonsi i hagun niyuk siha gi papa' nuhung. Pile the coconut leaves under the shade. Variant: adotsi, adåosi.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
adopta,Transitive Verb,"vt.  adopt, select; adapt, accommodate. Reversal: adopt.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
adora,Transitive Verb,"vt.  adore, love and admire greatly, idolize. Reversal: adore. Hu adora håo, kiridå‑hu! I adore you, my love! Hagas hu adora esti na chininå‑hu. I have adored this dress of mine for a long time. Guaha na tåotao ma adodora i pilan. There are people who adore the moon.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
adotna,Transitive Verb,"vt.  adorn, decorate, beautify. Reversal: adorn, decorate. In adotna i bilen gi lamasa. We adorned the manger on the table. Ma adotna i trongkun Krismas. They decorated the Christmas tree. Maila' ya ta adotna i uriyan i tano'‑ta. Let us beautify our island.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
adotta,Transitive Verb,"vt.  adopt, select. Reversal: adopt. Variant: adopta.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
